Vertragsnummer,Vertragsbeginn,Vertragsende,Vertragsstatus
1,2020-01-02,2021-01-01,abgelaufen
2,2020-01-03,2021-01-02,gekündigt
3,2020-01-04,,aktiv
4,2020-01-05,2021-01-04,abgelaufen
5,2020-01-06,2021-01-05,gekündigt
6,2020-01-07,,aktiv
7,2020-01-08,2021-01-07,abgelaufen
8,2020-01-09,2021-01-08,gekündigt
9,2020-01-10,,aktiv
10,2020-01-11,2021-01-10,abgelaufen
11,2020-01-12,2021-01-11,gekündigt
12,2020-01-13,,aktiv
13,2020-01-14,2021-01-13,abgelaufen
14,2020-01-15,2021-01-14,gekündigt
15,2020-01-16,,aktiv
16,2020-01-17,2021-01-16,abgelaufen
17,2020-01-18,2021-01-17,gekündigt
18,2020-01-19,,aktiv
19,2020-01-20,2021-01-19,abgelaufen
20,2020-01-21,2021-01-20,gekündigt
21,2020-01-22,,aktiv
22,2020-01-23,2021-01-22,abgelaufen
23,2020-01-24,2021-01-23,gekündigt
24,2020-01-25,,aktiv
25,2020-01-26,2021-01-25,abgelaufen
26,2020-01-27,2021-01-26,gekündigt
27,2020-01-28,,aktiv
28,2020-01-29,2021-01-28,abgelaufen
29,2020-01-30,2021-01-29,gekündigt
30,2020-01-31,,aktiv
31,2020-02-01,2021-01-31,abgelaufen
32,2020-02-02,2021-02-01,gekündigt
33,2020-02-03,,aktiv
34,2020-02-04,2021-02-03,abgelaufen
35,2020-02-05,2021-02-04,gekündigt
36,2020-02-06,,aktiv
37,2020-02-07,2021-02-06,abgelaufen
38,2020-02-08,2021-02-07,gekündigt
39,2020-02-09,,aktiv
40,2020-02-10,2021-02-09,abgelaufen
41,2020-02-11,2021-02-10,gekündigt
42,2020-02-12,,aktiv
43,2020-02-13,2021-02-12,abgelaufen
44,2020-02-14,2021-02-13,gekündigt
45,2020-02-15,,aktiv
46,2020-02-16,2021-02-15,abgelaufen
47,2020-02-17,2021-02-16,gekündigt
48,2020-02-18,,aktiv
49,2020-02-19,2021-02-18,abgelaufen
50,2020-02-20,2021-02-19,gekündigt
51,2020-02-21,,aktiv
52,2020-02-22,2021-02-21,abgelaufen
53,2020-02-23,2021-02-22,gekündigt
54,2020-02-24,,aktiv
55,2020-02-25,2021-02-24,abgelaufen
56,2020-02-26,2021-02-25,gekündigt
57,2020-02-27,,aktiv
58,2020-02-28,2021-02-27,abgelaufen
59,2020-02-29,2021-02-28,gekündigt
60,2020-03-01,,aktiv
61,2020-03-02,2021-03-02,abgelaufen
62,2020-03-03,2021-03-03,gekündigt
63,2020-03-04,,aktiv
64,2020-03-05,2021-03-05,abgelaufen
65,2020-03-06,2021-03-06,gekündigt
66,2020-03-07,,aktiv
67,2020-03-08,2021-03-08,abgelaufen
68,2020-03-09,2021-03-09,gekündigt
69,2020-03-10,,aktiv
70,2020-03-11,2021-03-11,abgelaufen
71,2020-03-12,2021-03-12,gekündigt
72,2020-03-13,,aktiv
73,2020-03-14,2021-03-14,abgelaufen
74,2020-03-15,2021-03-15,gekündigt
75,2020-03-16,,aktiv
76,2020-03-17,2021-03-17,abgelaufen
77,2020-03-18,2021-03-18,gekündigt
78,2020-03-19,,aktiv
79,2020-03-20,2021-03-20,abgelaufen
80,2020-03-21,2021-03-21,gekündigt
81,2020-03-22,,aktiv
82,2020-03-23,2021-03-23,abgelaufen
83,2020-03-24,2021-03-24,gekündigt
84,2020-03-25,,aktiv
85,2020-03-26,2021-03-26,abgelaufen
86,2020-03-27,2021-03-27,gekündigt
87,2020-03-28,,aktiv
88,2020-03-29,2021-03-29,abgelaufen
89,2020-03-30,2021-03-30,gekündigt
90,2020-03-31,,aktiv
91,2020-04-01,2021-04-01,abgelaufen
92,2020-04-02,2021-04-02,gekündigt
93,2020-04-03,,aktiv
94,2020-04-04,2021-04-04,abgelaufen
95,2020-04-05,2021-04-05,gekündigt
96,2020-04-06,,aktiv
97,2020-04-07,2021-04-07,abgelaufen
98,2020-04-08,2021-04-08,gekündigt
99,2020-04-09,,aktiv
100,2020-04-10,2021-04-10,abgelaufen
101,2020-04-11,2021-04-11,gekündigt
102,2020-04-12,,aktiv
103,2020-04-13,2021-04-13,abgelaufen
104,2020-04-14,2021-04-14,gekündigt
105,2020-04-15,,aktiv
106,2020-04-16,2021-04-16,abgelaufen
107,2020-04-17,2021-04-17,gekündigt
108,2020-04-18,,aktiv
109,2020-04-19,2021-04-19,abgelaufen
110,2020-04-20,2021-04-20,gekündigt
111,2020-04-21,,aktiv
112,2020-04-22,2021-04-22,abgelaufen
113,2020-04-23,2021-04-23,gekündigt
114,2020-04-24,,aktiv
115,2020-04-25,2021-04-25,abgelaufen
116,2020-04-26,2021-04-26,gekündigt
117,2020-04-27,,aktiv
118,2020-04-28,2021-04-28,abgelaufen
119,2020-04-29,2021-04-29,gekündigt
120,2020-04-30,,aktiv
121,2020-05-01,2021-05-01,abgelaufen
122,2020-05-02,2021-05-02,gekündigt
123,2020-05-03,,aktiv
124,2020-05-04,2021-05-04,abgelaufen
125,2020-05-05,2021-05-05,gekündigt
126,2020-05-06,,aktiv
127,2020-05-07,2021-05-07,abgelaufen
128,2020-05-08,2021-05-08,gekündigt
129,2020-05-09,,aktiv
130,2020-05-10,2021-05-10,abgelaufen
131,2020-05-11,2021-05-11,gekündigt
132,2020-05-12,,aktiv
133,2020-05-13,2021-05-13,abgelaufen
134,2020-05-14,2021-05-14,gekündigt
135,2020-05-15,,aktiv
136,2020-05-16,2021-05-16,abgelaufen
137,2020-05-17,2021-05-17,gekündigt
138,2020-05-18,,aktiv
139,2020-05-19,2021-05-19,abgelaufen
140,2020-05-20,2021-05-20,gekündigt
141,2020-05-21,,aktiv
142,2020-05-22,2021-05-22,abgelaufen
143,2020-05-23,2021-05-23,gekündigt
144,2020-05-24,,aktiv
145,2020-05-25,2021-05-25,abgelaufen
146,2020-05-26,2021-05-26,gekündigt
147,2020-05-27,,aktiv
148,2020-05-28,2021-05-28,abgelaufen
149,2020-05-29,2021-05-29,gekündigt
150,2020-05-30,,aktiv
151,2020-05-31,2021-05-31,abgelaufen
152,2020-06-01,2021-06-01,gekündigt
153,2020-06-02,,aktiv
154,2020-06-03,2021-06-03,abgelaufen
155,2020-06-04,2021-06-04,gekündigt
156,2020-06-05,,aktiv
157,2020-06-06,2021-06-06,abgelaufen
158,2020-06-07,2021-06-07,gekündigt
159,2020-06-08,,aktiv
160,2020-06-09,2021-06-09,abgelaufen
161,2020-06-10,2021-06-10,gekündigt
162,2020-06-11,,aktiv
163,2020-06-12,2021-06-12,abgelaufen
164,2020-06-13,2021-06-13,gekündigt
165,2020-06-14,,aktiv
166,2020-06-15,2021-06-15,abgelaufen
167,2020-06-16,2021-06-16,gekündigt
168,2020-06-17,,aktiv
169,2020-06-18,2021-06-18,abgelaufen
170,2020-06-19,2021-06-19,gekündigt
171,2020-06-20,,aktiv
172,2020-06-21,2021-06-21,abgelaufen
173,2020-06-22,2021-06-22,gekündigt
174,2020-06-23,,aktiv
175,2020-06-24,2021-06-24,abgelaufen
176,2020-06-25,2021-06-25,gekündigt
177,2020-06-26,,aktiv
178,2020-06-27,2021-06-27,abgelaufen
179,2020-06-28,2021-06-28,gekündigt
180,2020-06-29,,aktiv
181,2020-06-30,2021-06-30,abgelaufen
182,2020-07-01,2021-07-01,gekündigt
183,2020-07-02,,aktiv
184,2020-07-03,2021-07-03,abgelaufen
185,2020-07-04,2021-07-04,gekündigt
186,2020-07-05,,aktiv
187,2020-07-06,2021-07-06,abgelaufen
188,2020-07-07,2021-07-07,gekündigt
189,2020-07-08,,aktiv
190,2020-07-09,2021-07-09,abgelaufen
191,2020-07-10,2021-07-10,gekündigt
192,2020-07-11,,aktiv
193,2020-07-12,2021-07-12,abgelaufen
194,2020-07-13,2021-07-13,gekündigt
195,2020-07-14,,aktiv
196,2020-07-15,2021-07-15,abgelaufen
197,2020-07-16,2021-07-16,gekündigt
198,2020-07-17,,aktiv
199,2020-07-18,2021-07-18,abgelaufen
200,2020-07-19,2021-07-19,gekündigt
201,2020-07-20,,aktiv
202,2020-07-21,2021-07-21,abgelaufen
203,2020-07-22,2021-07-22,gekündigt
204,2020-07-23,,aktiv
205,2020-07-24,2021-07-24,abgelaufen
206,2020-07-25,2021-07-25,gekündigt
207,2020-07-26,,aktiv
208,2020-07-27,2021-07-27,abgelaufen
209,2020-07-28,2021-07-28,gekündigt
210,2020-07-29,,aktiv
211,2020-07-30,2021-07-30,abgelaufen
212,2020-07-31,2021-07-31,gekündigt
213,2020-08-01,,aktiv
214,2020-08-02,2021-08-02,abgelaufen
215,2020-08-03,2021-08-03,gekündigt
216,2020-08-04,,aktiv
217,2020-08-05,2021-08-05,abgelaufen
218,2020-08-06,2021-08-06,gekündigt
219,2020-08-07,,aktiv
220,2020-08-08,2021-08-08,abgelaufen
221,2020-08-09,2021-08-09,gekündigt
222,2020-08-10,,aktiv
223,2020-08-11,2021-08-11,abgelaufen
224,2020-08-12,2021-08-12,gekündigt
225,2020-08-13,,aktiv
226,2020-08-14,2021-08-14,abgelaufen
227,2020-08-15,2021-08-15,gekündigt
228,2020-08-16,,aktiv
229,2020-08-17,2021-08-17,abgelaufen
230,2020-08-18,2021-08-18,gekündigt
231,2020-08-19,,aktiv
232,2020-08-20,2021-08-20,abgelaufen
233,2020-08-21,2021-08-21,gekündigt
234,2020-08-22,,aktiv
235,2020-08-23,2021-08-23,abgelaufen
236,2020-08-24,2021-08-24,gekündigt
237,2020-08-25,,aktiv
238,2020-08-26,2021-08-26,abgelaufen
239,2020-08-27,2021-08-27,gekündigt
240,2020-08-28,,aktiv
241,2020-08-29,2021-08-29,abgelaufen
242,2020-08-30,2021-08-30,gekündigt
243,2020-08-31,,aktiv
244,2020-09-01,2021-09-01,abgelaufen
245,2020-09-02,2021-09-02,gekündigt
246,2020-09-03,,aktiv
247,2020-09-04,2021-09-04,abgelaufen
248,2020-09-05,2021-09-05,gekündigt
249,2020-09-06,,aktiv
250,2020-09-07,2021-09-07,abgelaufen
251,2020-09-08,2021-09-08,gekündigt
252,2020-09-09,,aktiv
253,2020-09-10,2021-09-10,abgelaufen
254,2020-09-11,2021-09-11,gekündigt
255,2020-09-12,,aktiv
256,2020-09-13,2021-09-13,abgelaufen
257,2020-09-14,2021-09-14,gekündigt
258,2020-09-15,,aktiv
259,2020-09-16,2021-09-16,abgelaufen
260,2020-09-17,2021-09-17,gekündigt
261,2020-09-18,,aktiv
262,2020-09-19,2021-09-19,abgelaufen
263,2020-09-20,2021-09-20,gekündigt
264,2020-09-21,,aktiv
265,2020-09-22,2021-09-22,abgelaufen
266,2020-09-23,2021-09-23,gekündigt
267,2020-09-24,,aktiv
268,2020-09-25,2021-09-25,abgelaufen
269,2020-09-26,2021-09-26,gekündigt
270,2020-09-27,,aktiv
271,2020-09-28,2021-09-28,abgelaufen
272,2020-09-29,2021-09-29,gekündigt
273,2020-09-30,,aktiv
274,2020-10-01,2021-10-01,abgelaufen
275,2020-10-02,2021-10-02,gekündigt
276,2020-10-03,,aktiv
277,2020-10-04,2021-10-04,abgelaufen
278,2020-10-05,2021-10-05,gekündigt
279,2020-10-06,,aktiv
280,2020-10-07,2021-10-07,abgelaufen
281,2020-10-08,2021-10-08,gekündigt
282,2020-10-09,,aktiv
283,2020-10-10,2021-10-10,abgelaufen
284,2020-10-11,2021-10-11,gekündigt
285,2020-10-12,,aktiv
286,2020-10-13,2021-10-13,abgelaufen
287,2020-10-14,2021-10-14,gekündigt
288,2020-10-15,,aktiv
289,2020-10-16,2021-10-16,abgelaufen
290,2020-10-17,2021-10-17,gekündigt
291,2020-10-18,,aktiv
292,2020-10-19,2021-10-19,abgelaufen
293,2020-10-20,2021-10-20,gekündigt
294,2020-10-21,,aktiv
295,2020-10-22,2021-10-22,abgelaufen
296,2020-10-23,2021-10-23,gekündigt
297,2020-10-24,,aktiv
298,2020-10-25,2021-10-25,abgelaufen
299,2020-10-26,2021-10-26,gekündigt
300,2020-10-27,,aktiv
301,2020-10-28,2021-10-28,abgelaufen
302,2020-10-29,2021-10-29,gekündigt
303,2020-10-30,,aktiv
304,2020-10-31,2021-10-31,abgelaufen
305,2020-11-01,2021-11-01,gekündigt
306,2020-11-02,,aktiv
307,2020-11-03,2021-11-03,abgelaufen
308,2020-11-04,2021-11-04,gekündigt
309,2020-11-05,,aktiv
310,2020-11-06,2021-11-06,abgelaufen
311,2020-11-07,2021-11-07,gekündigt
312,2020-11-08,,aktiv
313,2020-11-09,2021-11-09,abgelaufen
314,2020-11-10,2021-11-10,gekündigt
315,2020-11-11,,aktiv
316,2020-11-12,2021-11-12,abgelaufen
317,2020-11-13,2021-11-13,gekündigt
318,2020-11-14,,aktiv
319,2020-11-15,2021-11-15,abgelaufen
320,2020-11-16,2021-11-16,gekündigt
321,2020-11-17,,aktiv
322,2020-11-18,2021-11-18,abgelaufen
323,2020-11-19,2021-11-19,gekündigt
324,2020-11-20,,aktiv
325,2020-11-21,2021-11-21,abgelaufen
326,2020-11-22,2021-11-22,gekündigt
327,2020-11-23,,aktiv
328,2020-11-24,2021-11-24,abgelaufen
329,2020-11-25,2021-11-25,gekündigt
330,2020-11-26,,aktiv
331,2020-11-27,2021-11-27,abgelaufen
332,2020-11-28,2021-11-28,gekündigt
333,2020-11-29,,aktiv
334,2020-11-30,2021-11-30,abgelaufen
335,2020-12-01,2021-12-01,gekündigt
336,2020-12-02,,aktiv
337,2020-12-03,2021-12-03,abgelaufen
338,2020-12-04,2021-12-04,gekündigt
339,2020-12-05,,aktiv
340,2020-12-06,2021-12-06,abgelaufen
341,2020-12-07,2021-12-07,gekündigt
342,2020-12-08,,aktiv
343,2020-12-09,2021-12-09,abgelaufen
344,2020-12-10,2021-12-10,gekündigt
345,2020-12-11,,aktiv
346,2020-12-12,2021-12-12,abgelaufen
347,2020-12-13,2021-12-13,gekündigt
348,2020-12-14,,aktiv
349,2020-12-15,2021-12-15,abgelaufen
350,2020-12-16,2021-12-16,gekündigt
351,2020-12-17,,aktiv
352,2020-12-18,2021-12-18,abgelaufen
353,2020-12-19,2021-12-19,gekündigt
354,2020-12-20,,aktiv
355,2020-12-21,2021-12-21,abgelaufen
356,2020-12-22,2021-12-22,gekündigt
357,2020-12-23,,aktiv
358,2020-12-24,2021-12-24,abgelaufen
359,2020-12-25,2021-12-25,gekündigt
360,2020-12-26,,aktiv
361,2020-12-27,2021-12-27,abgelaufen
362,2020-12-28,2021-12-28,gekündigt
363,2020-12-29,,aktiv
364,2020-12-30,2021-12-30,abgelaufen
365,2020-12-31,2021-12-31,gekündigt
366,2021-01-01,,aktiv
367,2021-01-02,2022-01-02,abgelaufen
368,2021-01-03,2022-01-03,gekündigt
369,2021-01-04,,aktiv
370,2021-01-05,2022-01-05,abgelaufen
371,2021-01-06,2022-01-06,gekündigt
372,2021-01-07,,aktiv
373,2021-01-08,2022-01-08,abgelaufen
